gutenberg.id,title,author,gutenberg.author.id,gutenberg.bookshelf,flesch.value,flesch.grade,level,average.goodreads.rating
955,The Patchwork Girl of Oz,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Fantasy,85.89185219,6,A2,3.89
485,The Road to Oz,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Fantasy,82.7299295,6,A2,3.77
957,The Scarecrow of Oz,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Fantasy,83.28293322,6,A2,3.82
4358,The Sea Fairies,"Baum, L. Frank (Lyman Frank)",42,Fantasy/Children's Literature,83.84723644,6,A2,3.74
16259,The Surprising Adventures of the Magical Monarch of Mo and His People,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Fantasy,80.38828299,6,A2,3.86
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Fantasy,87.32791274,6,A2,3.98
956,Tik-Tok of Oz,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Fantasy,80.70715782,6,A2,3.83
11,Alice's Adventures in Wonderland,"Carroll, Lewis",7,Children's Literature,87.0674986,6,A2,4
28696,Symbolic Logic,"Carroll, Lewis",7,Philosophy,87.62732683,6,A2,3.89
4763,The Game of Logic,"Carroll, Lewis",7,Philosophy,89.41132441,6,A2,3.57
13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis",7,Children's Literature,81.15896555,6,A2,4.67
12,Through the Looking-Glass,"Carroll, Lewis",7,Children's Literature/Best Books Ever Listings,87.97808229,6,A2,4.06
7986,"Plays by Anton Chekhov, Second Series","Chekhov, Anton Pavlovich",708,One Act Plays,88.26926692,6,A2,3.98
1155,The Secret Adversary,"Christie, Agatha",451,Detective Fiction,84.01775458,6,A2,3.82
5658,Lord Jim,"Conrad, Joseph",125,Best Books Ever Listings,80.4482634,6,A2,3.61
1008,"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,507,Italy/Harvard Classics,83.00578432,6,A2,4.06
8800,"The Divine Comedy by Dante, Illustrated",Dante Alighieri,507,Best Books Ever Listings/Italy,82.5416756,6,A2,4.35
32522,Mr. Spaceship,"Dick, Philip K.",33399,Science Fiction,87.15912381,6,A2,3.51
32832,Piper in the Woods,"Dick, Philip K.",33399,Science Fiction,88.62162012,6,A2,3.57
28698,The Crystal Crypt,"Dick, Philip K.",33399,Science Fiction,87.63157309,6,A2,3.51
28767,The Defenders,"Dick, Philip K.",33399,Science Fiction,86.01799061,6,A2,3.97
29132,The Gun,"Dick, Philip K.",33399,Science Fiction,89.93404232,6,A2,4.18
32154,The Variable Man,"Dick, Philip K.",33399,Science Fiction,82.4814172,6,A2,3.75
40964,Tony and the Beetles,"Dick, Philip K.",33399,Science Fiction,87.21660878,6,A2,3.38
19337,A Christmas Carol,"Dickens, Charles",37,Christmas/Children's Literature,84.92333279,6,A2,4.03
20795,The Cricket on the Hearth,"Dickens, Charles",37,Children's Literature,81.81654946,6,A2,3.42
2350,His Last Bow: An Epilogue of Sherlock Holmes,"Doyle, Arthur Conan",69,Detective Fiction,82.84156633,6,A2,4.29
5148,Rodney Stone,"Doyle, Arthur Conan",69,Historical Fiction,81.03320171,6,A2,3.7
2346,The Adventure of the Bruce-Partington Plans,"Doyle, Arthur Conan",69,Detective Fiction,81.22237577,6,A2,3
2344,The Adventure of the Cardboard Box,"Doyle, Arthur Conan",69,Detective Fiction,80.79854026,6,A2,3.73
2347,The Adventure of the Dying Detective,"Doyle, Arthur Conan",69,Detective Fiction,85.47353808,6,A2,4.04
2345,The Adventure of the Red Circle,"Doyle, Arthur Conan",69,Detective Fiction,83.5844393,6,A2,3.74
1644,The Adventures of Gerard,"Doyle, Arthur Conan",69,Historical Fiction,83.54114181,6,A2,3.79
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",69,Banned Books from Anne Haight's list/Detective Fiction/Contemporary Reviews,81.22977392,6,A2,4.3
2348,The Disappearance of Lady Frances Carfax,"Doyle, Arthur Conan",69,Detective Fiction,80.71065867,6,A2,3.83
11656,The Great Shadow and Other Napoleonic Tales,"Doyle, Arthur Conan",69,Historical Fiction,87.09507552,6,A2,2.93
2852,The Hound of the Baskervilles,"Doyle, Arthur Conan",69,"Detective Fiction/Bestsellers, American, 1895-1923",81.00420326,6,A2,4.09
11413,"The Refugees
A Tale of Two Continents","Doyle, Arthur Conan",69,Historical Fiction,83.564065,6,A2,3.61
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",69,Detective Fiction,80.87268691,6,A2,4.31
2097,The Sign of the Four,"Doyle, Arthur Conan",69,Detective Fiction,81.92501706,6,A2,3.95
3289,The Valley of Fear,"Doyle, Arthur Conan",69,Detective Fiction,83.54279087,6,A2,3.98
903,The White Company,"Doyle, Arthur Conan",69,Historical Fiction,82.8190131,6,A2,3.88
1259,Twenty Years After,"Dumas, Alexandre",492,Historical Fiction/Movie Books/Adventure,81.10071442,6,A2,4.01
